Phrase,Time,INF,IF,F,C
parking lot is full of trucks,8.727273,1,0,0,23
my bike has a flat tire,7.448276,0,0,0,18
do not walk too quickly,12.0,0,1,0,18
a duck quacks to ask for food,9.517241,0,2,1,21
limited warranty of two years,10.344828,2,2,1,21
the four seasons will come,11.478261,2,0,0,20
the sun rises in the east,10.0,1,1,0,18
it is very windy today,6.967742,1,1,0,16
do not worry about this,8.769231,1,1,0,17
dashing through the snow,9.0,0,1,0,20
want to join us for lunch,7.741935,0,2,1,18
stay away from strangers,10.08,2,0,0,19
accompanied by an adult,9.6,1,0,0,19
see you later alligator,7.741935,2,2,1,16
make my day you sucker,6.967742,0,0,0,18
I can play much better now,10.08,0,0,1,21
she wears too much makeup,13.263158,0,2,0,19
my bare face in the wind,9.913043,0,1,0,18
batman wears a cape,6.4,0,1,0,15
I hate baking pies,9.473684,0,1,0,14
lydia wants to go home,8.0,0,0,0,18
win first prize in the contest,17.647059,2,2,1,21
freud wrote of the ego,12.705882,0,1,0,17
I do not care if you do that,10.5,1,0,0,20
always cover all the bases,7.764706,1,0,1,21
nobody cares anymore,12.0,0,1,0,17
can we play cards tonight,8.689655,0,2,1,19
get rid of that immediately,8.117647,1,1,0,21
I watched blazing saddles,8.516129,0,2,1,20
the sum of the parts,8.727273,1,1,0,14
they love to yap about nothing,10.344828,0,0,0,25
peek out the window,8.0,0,0,0,16
be home before midnight,7.5,0,0,0,20
he played a pimp in that movie,16.941176,1,1,0,22
I skimmed through your proposal,9.529412,2,1,0,24
he was wearing a sweatshirt,8.363636,0,0,1,23
no more war no more bloodshed,8.727273,2,2,0,20
toss the ball around,12.0,0,1,0,16
I will meet you at noon,8.307692,0,0,0,18
I want to hold your hand,12.0,1,0,0,18
the children are playing,12.6,2,0,0,19
superman never wore a mask,10.153846,1,0,0,21
I listen to the tape everyday,15.157895,1,0,0,23
he is shouting loudly,8.0,1,0,0,17
correct your diction immediately,15.130435,1,2,0,26
seasoned golfers love the game,9.454545,0,1,1,25
he cooled off after she left,8.363636,1,1,1,21
my dog sheds his hair,6.181818,0,0,0,17
join us on the patio,7.68,0,1,0,15
these cookies are so amazing,11.076923,1,2,0,21
I can still feel your presence,9.677419,1,0,0,24
the dog will bite you,6.8,1,0,0,16
a most ridiculous thing,12.0,2,2,0,16
where did you get that tie,12.0,1,2,1,18
what a lovely red jacket,8.888889,0,2,0,18
do you like to shop on Sunday,14.526316,2,1,1,20
I spilled coffee on the carpet,11.111111,2,1,1,22
the largest of the five oceans,9.090909,1,1,0,23
shall we play a round of cards,16.941176,1,2,0,21
olympic athletes use drugs,11.04,0,1,1,22
my mother makes good cookies,13.714286,1,2,1,21
do a good deed to someone,13.333333,0,1,1,19
quick there is someone knocking,10.125,1,2,1,24
flashing red light means stop,10.714286,2,0,1,23
sprawling subdivisions are bad,9.529412,0,1,1,26
where did I leave my glasses,10.222222,1,2,1,20
on the way to the cottage,10.0,1,2,0,17
a lot of chlorine in the water,11.52,0,2,0,22
do not drink the water,10.8,1,0,0,17
my car always breaks in the winter,15.272727,2,2,1,24
santa claus got stuck,11.368421,1,0,0,17
public transit is much faster,12.5,0,1,1,24
zero in on the facts,6.857143,0,1,0,15
make up a few more phrases,8.129032,2,1,0,18
my fingers are very cold,7.741935,1,0,0,19
rain rain go away,8.0,0,1,0,13
bad for the environment,12.0,0,1,0,19
universities are too expensive,17.052632,1,0,0,26
the price of gas is high,7.6,1,0,0,18
the winner of the race,6.967742,1,0,0,17
we drive on parkways,6.580645,0,1,0,16
we park in driveways,7.034483,1,1,0,15
go out for some pizza and beer,14.4,0,1,0,23
effort is what it will take,9.777778,1,2,0,19
where can my little dog be,8.129032,2,0,1,19
if you were not so stupid,7.5,1,1,1,18
not quite so smart as you think,14.285714,0,0,1,25
do you like to go camping,7.272727,2,0,1,18
this person is a disaster,8.4,0,2,1,19
the imagination of the nation,15.0,1,0,0,24
universally understood to be wrong,12.857143,2,0,1,28
listen to five hours of opera,9.931034,1,0,0,23
an occasional taste of chocolate,19.764706,0,1,1,27
victims deserve more redress,11.538462,2,0,0,23
the protesters blocked all traffic,11.25,3,2,1,25
the acceptance speech was boring,10.83871,0,1,1,27
work hard to reach the summit,10.666667,2,1,1,21
a little encouragement is needed,11.586207,1,2,0,25
stiff penalty for staying out late,13.384615,1,0,0,28
the pen is mightier than the sword,14.608696,0,0,1,28
exceed the maximum speed limit,9.75,0,0,0,26
in sharp contrast to your words,9.454545,2,2,0,22
this leather jacket is too warm,12.48,2,0,0,24
consequences of a wrong turn,12.521739,2,0,0,22
this mission statement is baloney,10.875,2,2,1,25
you will loose your voice,14.0,2,1,1,18
every apple from every tree,11.5,0,1,0,22
are you sure you want this,8.129032,1,1,1,19
the fourth edition was better,10.344828,0,0,1,25
this system of taxation,10.909091,0,2,0,18
beautiful paintings in the gallery,10.909091,0,2,1,28
a yard is almost as long as a meter,10.8,2,1,0,24
we missed your birthday,12.0,1,1,1,18
coalition governments never work,14.5,0,0,0,29
destruction of the rain forest,15.6,0,2,1,24
I like to play tennis,7.846154,1,1,0,15
acutely aware of her good looks,11.142857,2,1,1,23
you want to eat your cake,10.0,2,1,1,17
machinery is too complicated,17.647059,2,0,0,23
a glance in the right direction,9.454545,1,0,1,25
I just cannot figure this out,8.470588,0,1,0,23
please follow the guidelines,13.043478,1,1,0,23
an airport is a very busy place,17.647059,1,1,0,23
mystery of the lost lagoon,8.8,2,2,1,18
is there any indication of this,14.181818,1,1,1,24
the chamber makes important decisions,20.842105,0,3,1,30
this phenomenon will never occur,15.272727,2,2,1,24
obligations must be met first,17.647059,1,1,1,23
valid until the end of the year,9.375,2,1,1,22
file all complaints in writing,14.181818,1,1,0,24
tickets are very expensive,9.2,1,1,0,21
a picture is worth many words,11.52,2,0,0,22
this camera takes nice photographs,18.947368,0,0,0,30
it looks like a shack,7.846154,1,0,0,16
the dog buried the bone,8.142857,1,1,0,17
the daring young man,10.736842,1,1,0,15
this equation is too complicated,15.272727,2,0,1,26
express delivery is very fast,10.0,0,1,0,24
I will put on my glasses,12.0,1,1,0,17
a touchdown in the last minute,8.823529,0,2,1,23
the treasury department is broke,19.764706,0,2,1,26
a good response to the question,15.6,0,1,1,25
well connected with people,12.0,1,0,0,22
the bathroom is good for reading,14.727273,1,2,0,24
the generation gap gets wider,12.0,0,2,0,23
chemical spill took forever,9.6,2,1,0,21
prepare for the exam in advance,12.48,2,0,1,24
interesting observation was made,15.818182,2,1,1,26
bank transaction was not registered,18.6,1,0,0,30
your etiquette needs some work,12.0,0,2,1,24
we better investigate this,16.235294,0,0,1,23
stability of the nation,9.230769,2,2,0,16
house with new electrical panel,11.571429,2,2,0,23
our silver anniversary is coming,14.608696,1,2,1,25
the presidential suite is very busy,11.25,0,2,1,28
the punishment should fit the crime,11.25,3,3,0,24
sharp cheese keeps the mind sharp,16.8,0,2,1,26
the registration period is over,12.96,1,2,1,24
you have my sympathy,8.16,0,0,0,17
the objective of the exercise,11.111111,2,0,0,23
historic meeting without a result,13.92,0,1,1,28
very reluctant to enter,9.6,1,0,0,19
good at addition and subtraction,10.83871,2,2,0,24
six daughters and seven sons,12.521739,1,1,1,22
a thoroughly disgusting thing to say,18.6,0,2,0,29
sign the withdrawal slip,14.823529,2,1,1,18
relations are very strained,11.52,0,2,0,22
the minimum amount of time,8.516129,2,0,0,20
a very traditional way to dress,12.0,1,2,0,23
the aspirations of a nation,13.142857,2,0,1,21
medieval times were very hard,15.0,2,2,1,21
a security force of eight thousand,15.818182,1,1,1,27
there are winners and losers,9.0,2,2,0,20
the voters turfed him out,7.875,1,0,0,20
pay off a mortgage for a house,8.727273,0,0,1,24
the collapse of the Roman empire,9.818182,1,2,1,24
did you see that spectacular explosion,23.294118,1,0,1,32
keep receipts for all your expenses,10.588235,1,3,0,26
the assault took six months,9.857143,0,0,1,23
get your priorities in order,11.076923,2,1,1,21
traveling requires a lot of fuel,10.125,2,0,0,25
longer than a football field,8.727273,2,1,1,21
a good joke deserves a good laugh,19.058824,2,2,0,23
the union will go on strike,10.56,0,0,1,22
never mix religion and politics,10.8,0,2,0,25
interactions between men and women,18.947368,2,3,0,25
where did you get such a silly idea,14.608696,1,0,0,27
it should be sunny tomorrow,9.2,0,2,0,21
a psychiatrist will help you,11.52,2,0,1,22
you should visit to a doctor,9.2,0,2,0,21
you must make an appointment,12.521739,1,2,0,21
the fax machine is broken,7.636364,0,1,1,20
players must know all the rules,17.333333,1,0,1,25
a dog is the best friend of a man,10.0,1,2,1,22
would you like to come to my house,10.125,2,1,1,24
February has an extra day,8.129032,2,0,1,19
do not feel too bad about it,8.516129,1,2,1,19
this library has many books,9.857143,0,1,0,22
construction makes traveling difficult,13.548387,2,2,1,31
he called seven times,9.0,1,1,0,16
that is a very odd question,8.516129,1,0,1,21
a feeling of complete exasperation,15.652174,0,3,0,27
we must redouble our efforts,9.290323,1,0,1,23
no kissing in the library,12.6,1,0,1,20
that agreement is rife with problems,19.578947,1,1,0,29
vote according to your conscience,15.818182,0,2,1,27
my favourite sport is racketball,16.0,0,1,1,27
sad to hear that news,7.034483,0,1,0,16
the gun discharged by accident,17.333333,1,2,1,23
one of the poorest nations,9.777778,2,0,1,20
the algorithm is too complicated,10.181818,1,2,1,25
your presentation was inspiring,18.666667,1,1,1,26
that land is owned by the government,18.0,1,0,0,29
burglars never leave their business card,13.125,3,3,1,29
the fire blazed all weekend,14.526316,2,1,0,20
if diplomacy does not work,9.103448,2,2,1,18
please keep this confidential,10.064516,0,1,0,25
the rationale behind the decision,13.92,2,0,0,27
the cat has a pleasant temperament,15.818182,1,1,1,27
our housekeeper does a thorough job,21.176471,2,1,1,27
her majesty visited our country,9.818182,2,2,1,23
handicapped persons need consideration,15.555556,3,0,0,32
these barracks are big enough,9.375,2,1,1,22
sing the gospel and the blues,16.0,2,0,0,22
he underwent triple bypass surgery,15.652174,1,2,1,27
the hopes of a new organization,11.555556,1,2,1,23
peering through a small hole,10.666667,2,1,0,21
rapidly running short on words,11.142857,2,2,1,22
it is difficult to concentrate,18.352941,2,0,1,24
give me one spoonful of coffee,9.677419,2,2,1,21
two or three cups of coffee,10.153846,2,1,0,19
just like it says on the can,13.894737,1,2,1,19
companies announce a merger,16.941176,1,0,0,23
electric cars need big fuel cells,18.666667,1,1,0,26
the plug does not fit the socket,13.0,0,0,1,26
drugs should be avoided,13.333333,1,0,0,19
the most beautiful sunset,8.8,0,0,1,22
we dine out on the weekends,11.478261,2,0,1,20
get aboard the ship is leaving,13.636364,1,1,1,23
the water was monitored daily,9.090909,0,2,1,23
he watched in astonishment,8.625,1,0,1,22
a big scratch on the tabletop,10.285714,2,0,1,22
salesmen must make their monthly quota,14.142857,3,0,1,30
saving that child was an heroic effort,18.285714,3,3,1,26
granite is the hardest of all rocks,15.818182,0,0,1,29
bring the offenders to justice,12.48,0,0,1,26
every Saturday he folds the laundry,10.588235,1,3,0,26
careless driving results in a fine,15.130435,0,1,0,28
microscopes make small things look big,13.2,0,2,1,31
a coupon for a free sample,9.0,0,1,1,20
fine but only in moderation,15.333333,2,0,0,21
a subject one can really enjoy,10.714286,1,2,0,22
important for political parties,16.0,0,2,0,26
that sticker needs to be validated,13.92,1,0,1,28
the fire raged for an entire month,12.444444,0,2,1,26
one never takes too many precautions,14.307692,3,0,0,28
we have enough witnesses,10.956522,2,1,0,18
labour unions know how to organize,16.571429,2,0,1,27
people blow their horn a lot,12.545455,0,2,1,21
a correction had to be published,18.0,0,1,0,26
I like baroque and classical music,17.4,1,0,1,28
the proprietor was unavailable,10.8,0,0,1,27
be discreet about your meeting,9.75,1,0,1,25
meet tomorrow in the lavatory,13.636364,1,2,1,22
suburbs are sprawling up everywhere,16.173913,1,1,1,29
shivering is one way to keep warm,14.727273,0,0,1,27
dolphins leap high out of the water,10.875,2,0,1,27
try to enjoy your maternity leave,10.83871,2,0,1,26
the ventilation system is broken,14.608696,1,2,0,25
dinosaurs have been extinct for ages,16.173913,3,1,1,27
an inefficient way to heat a house,17.684211,2,1,1,25
the bus was very crowded,10.909091,2,2,1,16
an injustice is committed every day,11.612903,2,3,1,25
the coronation was very exciting,16.0,0,0,1,28
look in the syllabus for the course,15.818182,1,1,1,27
rectangular objects have four sides,20.666667,2,0,1,29
prescription drugs require a note,11.6,0,2,1,27
the insulation is not working,11.111111,0,0,1,25
nothing finer than discovering a treasure,13.090909,0,2,0,34
our life expectancy has increased,10.545455,0,0,1,29
the cream rises to the top,12.0,0,0,1,21
the high waves will swamp us,15.333333,2,2,1,19
the treasurer must balance her books,21.882353,2,3,0,26
completely sold out of that,10.222222,1,2,0,20
the location of the crime,7.875,1,2,0,18
the chancellor was very boring,14.857143,0,0,0,26
the accident scene is a shrine for fans,13.714286,0,3,0,29
a tumor is OK provided it is benign,14.0,2,0,1,26
please take a bath this month,15.157895,2,0,1,22
rent is paid at the beginning of the month,12.363636,3,0,1,31
for murder you get a long prison sentence,22.666667,1,0,0,33
a much higher risk of getting cancer,10.588235,0,3,0,27
quit while you are ahead,8.571429,0,2,0,18
knee bone is connected to the thigh bone,14.666667,1,0,1,32
safe to walk the streets in the evening,14.222222,3,2,0,27
luckily my wallet was found,9.2,2,0,0,21
one hour is allotted for questions,11.225806,0,0,0,29
so you think you deserve a raise,15.6,2,0,1,24
they watched the entire movie,9.677419,2,2,1,21
good jobs for those with education,12.428571,2,0,1,27
jumping right out of the water,12.0,0,2,1,23
the trains are always late,7.764706,2,1,0,19
sit at the front of the bus,7.875,2,0,1,19
do you prefer a window seat,10.153846,2,0,0,20
the food at this restaurant,9.517241,0,1,0,22
Canada has ten provinces,10.5,0,1,1,20
the elevator door appears to be stuck,15.5,0,1,0,30
raindrops keep falling on my head,16.8,2,1,1,25
spill coffee on the carpet,15.529412,1,2,0,19
an excellent way to communicate,10.451613,2,2,0,23
with each step forward,6.705882,0,0,0,19
faster than a speeding bullet,9.375,0,0,0,25
wishful thinking is fine,9.0,1,0,1,20
nothing wrong with his style,10.666667,1,1,1,22
arguing with the boss is futile,14.181818,0,1,0,25
taking the train is usually faster,16.571429,2,0,1,27
what goes up must come down,13.894737,1,2,1,19
be persistent to win a strike,12.521739,0,0,0,24
presidents drive expensive cars,13.44,1,0,0,27
the stock exchange dipped,13.894737,2,1,1,19
why do you ask silly questions,15.0,0,0,1,25
that is a very nasty cut,7.125,0,1,0,18
what to do when the oil runs dry,13.636364,1,2,1,22
learn to walk before you run,8.625,1,0,1,22
insurance is important for bad drivers,18.0,0,2,1,31
traveling to conferences is fun,15.428571,1,2,1,24
do you get nervous when you speak,16.2,1,2,1,24
pumping helps if the roads are slippery,14.142857,3,0,1,30
parking tickets can be challenged,15.130435,1,0,1,28
apartments are too expensive,12.5,2,1,1,22
find a nearby parking spot,12.571429,0,1,0,21
gun powder must be handled with care,17.142857,0,2,0,28
just what the doctor ordered,16.0,0,0,1,24
a rattle snake is very poisonous,14.727273,2,0,1,25
weeping willows are found near water,10.941176,1,3,0,27
I cannot believe I ate the whole thing,15.5,1,2,0,28
the biggest hamburger I have ever seen,16.695652,3,1,0,28
gamblers eventually loose their shirts,13.6,0,3,0,31
exercise is good for the mind,12.0,1,1,1,22
irregular verbs are the hardest to learn,12.0,2,1,1,31
they might find your comment offensive,18.857143,2,0,0,31
tell a lie and your nose will grow,11.571429,1,0,0,26
an enlarged nose suggests you are a liar,23.294118,2,2,1,29
lie detector tests never work,9.677419,1,2,1,22
do not lie in court or else,12.0,2,1,1,18
most judges are very honest,15.333333,2,0,1,21
only an idiot would lie in court,12.48,1,0,0,25
important news always seems to be late,15.36,3,3,1,26
please try to be home before midnight,13.777778,2,2,1,27
if you come home late the doors are locked,12.0,0,3,1,31
dormitory doors are locked at midnight,11.647059,0,2,1,31
staying up all night is a bad idea,10.451613,1,1,1,25
you are a capitalist pig,9.230769,1,0,1,19
motivational seminars make me sick,15.652174,1,3,0,26
questioning the wisdom of the courts,12.827586,2,0,1,29
rejection letters are discouraging,10.941176,1,2,1,28
the first time he tried to swim,16.666667,0,0,1,25
that referendum asked a silly question,15.230769,0,0,0,33
a steep learning curve in riding a unicycle,14.896552,1,1,0,34
a good stimulus deserves a good response,15.111111,1,0,0,33
everybody looses in custody battles,18.6,2,3,0,26
put garbage in an abandoned mine,13.5,0,1,1,26
employee recruitment takes a lot of effort,19.636364,2,1,1,33
experience is hard to come by,12.0,1,1,0,22
everyone wants to win the lottery,12.444444,2,1,0,25
the picket line gives me the chills,15.818182,1,1,1,27
