Phrase,Time,INF,IF,F,C
where can my little dog be,4.754717,1,0,0,20
if you were not so stupid,3.529412,0,0,1,20
not quite so smart as you think,5.357143,1,1,1,23
do you like to go camping,3.75,2,2,1,16
this person is a disaster,4.666667,0,2,1,19
the imagination of the nation,5.263158,0,1,1,24
universally understood to be wrong,5.901639,3,0,0,27
listen to five hours of opera,5.333333,1,0,1,23
an occasional taste of chocolate,5.169231,1,0,0,27
victims deserve more redress,5.357143,2,2,1,21
the protesters blocked all traffic,5.625,1,2,0,27
the acceptance speech was boring,5.793103,1,0,0,27
work hard to reach the summit,5.647059,0,1,1,23
a little encouragement is needed,6.588235,2,2,1,24
stiff penalty for staying out late,6.327273,2,1,0,26
the pen is mightier than the sword,6.109091,1,1,1,26
exceed the maximum speed limit,6.117647,2,2,1,22
in sharp contrast to your words,5.886792,2,2,1,22
this leather jacket is too warm,5.777778,0,0,0,26
consequences of a wrong turn,5.433962,2,1,0,21
this mission statement is baloney,5.19403,0,0,0,29
you will loose your voice,4.421053,0,0,0,21
every apple from every tree,4.3125,1,0,1,22
are you sure you want this,4.131148,0,1,0,20
the fourth edition was better,5.172414,1,2,1,22
this system of taxation,4.285714,0,2,0,18
beautiful paintings in the gallery,6.923077,0,0,1,30
a yard is almost as long as a meter,4.984615,0,2,0,25
we missed your birthday,4.528302,2,2,1,16
coalition governments never work,6.214286,2,0,0,27
destruction of the rain forest,6.117647,0,0,0,26
I like to play tennis,3.517241,1,1,0,15
acutely aware of her good looks,5.114754,1,0,0,25
you want to eat your cake,3.636364,1,0,1,19
machinery is too complicated,5.0,2,1,1,22
a glance in the right direction,4.727273,0,1,1,25
I just cannot figure this out,5.236364,0,2,0,22
please follow the guidelines,4.411765,1,2,0,22
an airport is a very busy place,4.761905,1,0,1,24
mystery of the lost lagoon,4.631579,2,2,0,18
is there any indication of this,5.37931,2,0,1,24
the chamber makes important decisions,6.711864,2,0,1,31
this phenomenon will never occur,6.0,1,0,1,27
obligations must be met first,5.454545,2,1,0,22
valid until the end of the year,5.357143,2,1,0,22
file all complaints in writing,5.777778,2,2,0,22
tickets are very expensive,4.451613,2,2,1,19
a picture is worth many words,4.298507,0,1,0,23
this camera takes nice photographs,6.923077,3,3,1,24
it looks like a shack,3.238095,1,0,0,16
the dog buried the bone,3.619048,0,1,0,18
the daring young man,3.4,0,1,0,16
this equation is too complicated,4.941176,2,2,1,24
express delivery is very fast,5.454545,0,2,1,23
I will put on my glasses,3.677419,0,1,0,18
a touchdown in the last minute,4.545455,1,1,1,23
the treasury department is broke,6.339623,2,0,0,26
a good response to the question,4.727273,1,2,0,23
well connected with people,4.52459,0,0,1,23
the bathroom is good for reading,6.352941,0,0,1,27
the generation gap gets wider,4.615385,2,0,1,23
chemical spill took forever,4.430769,2,1,0,21
prepare for the exam in advance,5.114754,0,2,1,24
interesting observation was made,6.327273,1,1,0,27
bank transaction was not registered,6.098361,3,0,1,28
your etiquette needs some work,4.952381,1,1,1,24
we better investigate this,5.111111,1,0,0,22
stability of the nation,4.705882,0,1,0,19
house with new electrical panel,5.785714,1,1,0,25
our silver anniversary is coming,5.014925,2,2,1,24
the presidential suite is very busy,5.454545,0,1,0,29
the punishment should fit the crime,5.625,3,2,1,25
sharp cheese keeps the mind sharp,5.894737,2,2,1,24
the registration period is over,4.984615,2,2,1,23
you have my sympathy,3.344262,0,1,0,16
the objective of the exercise,4.761905,0,1,1,24
historic meeting without a result,6.566038,2,2,0,25
very reluctant to enter,4.067797,0,1,0,19
good at addition and subtraction,6.461538,2,2,0,24
six daughters and seven sons,5.647059,1,0,1,23
a thoroughly disgusting thing to say,6.888889,2,1,0,28
sign the withdrawal slip,3.818182,1,2,0,18
relations are very strained,5.142857,1,1,0,22
the minimum amount of time,4.631579,2,1,0,19
a very traditional way to dress,4.8,0,0,1,26
the aspirations of a nation,4.451613,1,1,1,21
medieval times were very hard,4.411765,1,2,0,22
a security force of eight thousand,6.444444,1,1,1,27
there are winners and losers,4.571429,1,2,0,21
the voters turfed him out,4.344828,2,0,1,19
pay off a mortgage for a house,5.236364,1,0,1,23
the collapse of the Roman empire,5.142857,0,2,1,25
did you see that spectacular explosion,6.947368,0,0,0,33
keep receipts for all your expenses,5.538462,0,0,0,30
the assault took six months,4.52459,2,1,0,20
get your priorities in order,4.235294,1,1,1,22
traveling requires a lot of fuel,5.311475,0,1,1,26
longer than a football field,5.647059,0,0,1,24
a good joke deserves a good laugh,6.113208,0,1,1,26
the union will go on strike,5.076923,2,1,1,19
never mix religion and politics,5.142857,2,1,0,24
interactions between men and women,6.923077,0,1,0,29
where did you get such a silly idea,5.333333,0,1,0,27
it should be sunny tomorrow,5.018182,0,1,1,22
a psychiatrist will help you,4.8,0,1,0,23
you should visit to a doctor,4.677966,2,0,1,21
you must make an appointment,5.333333,1,1,0,22
the fax machine is broken,3.818182,1,0,0,20
players must know all the rules,4.875,1,0,1,25
a dog is the best friend of a man,5.660377,0,0,0,25
would you like to come to my house,5.586207,0,1,1,26
February has an extra day,4.941176,2,2,1,17
do not feel too bad about it,5.076923,0,1,0,21
this library has many books,5.207547,2,1,1,20
construction makes traveling difficult,6.363636,2,0,1,33
he called seven times,3.927273,1,1,0,16
that is a very odd question,4.190476,2,0,1,20
a feeling of complete exasperation,6.666667,2,0,1,28
we must redouble our efforts,4.5,0,0,0,24
no kissing in the library,4.271186,2,1,1,18
that agreement is rife with problems,6.0,0,2,1,29
vote according to your conscience,6.692308,0,2,1,27
my favourite sport is racketball,5.694915,0,2,0,26
sad to hear that news,3.090909,0,0,0,17
the gun discharged by accident,5.473684,2,0,1,24
one of the poorest nations,4.327869,1,2,0,19
the algorithm is too complicated,6.588235,2,2,0,24
your presentation was inspiring,6.0,0,1,0,27
that land is owned by the government,5.294118,2,0,0,28
burglars never leave their business card,6.176471,3,1,0,31
the fire blazed all weekend,4.3125,2,1,0,20
if diplomacy does not work,4.888889,1,1,0,20
please keep this confidential,6.117647,0,0,0,26
the rationale behind the decision,6.692308,2,1,1,26
the cat has a pleasant temperament,6.444444,0,2,1,27
our housekeeper does a thorough job,5.538462,1,3,0,26
her majesty visited our country,5.890909,2,2,1,23
handicapped persons need consideration,6.774194,1,2,1,32
these barracks are big enough,5.0,2,1,1,22
sing the gospel and the blues,4.298507,0,2,1,22
he underwent triple bypass surgery,7.058824,2,1,1,27
the hopes of a new organization,4.875,2,0,1,24
peering through a small hole,4.8,1,2,1,21
rapidly running short on words,4.656716,0,1,1,25
it is difficult to concentrate,5.114754,2,0,0,24
give me one spoonful of coffee,4.615385,1,1,0,23
two or three cups of coffee,4.8,0,2,1,20
just like it says on the can,4.631579,0,1,0,21
companies announce a merger,4.645161,1,1,1,22
electric cars need big fuel cells,6.461538,0,2,0,26
the plug does not fit the socket,4.875,2,2,0,22
drugs should be avoided,3.870968,1,1,1,18
the most beautiful sunset,4.714286,1,0,0,21
we dine out on the weekends,4.551724,0,0,0,22
get aboard the ship is leaving,5.660377,1,2,1,22
the water was monitored daily,5.0,0,1,1,24
he watched in astonishment,4.246154,2,2,0,19
a big scratch on the tabletop,4.571429,1,2,0,21
salesmen must make their monthly quota,7.2,1,3,0,29
saving that child was an heroic effort,6.857143,1,0,1,31
granite is the hardest of all rocks,6.692308,1,2,1,26
bring the offenders to justice,4.8,2,2,0,22
every Saturday he folds the laundry,6.101695,0,0,1,30
careless driving results in a fine,6.692308,2,0,0,27
microscopes make small things look big,5.910448,3,1,0,29
a coupon for a free sample,4.846154,2,0,1,19
fine but only in moderation,4.3125,1,2,1,20
a subject one can really enjoy,5.454545,1,2,1,22
important for political parties,5.333333,2,2,1,24
that sticker needs to be validated,5.4375,0,0,0,29
the fire raged for an entire month,5.419355,1,2,1,25
one never takes too many precautions,5.723077,1,0,1,30
we have enough witnesses,3.9375,2,2,0,17
labour unions know how to organize,6.0,2,1,0,26
people blow their horn a lot,4.677966,2,2,1,19
a correction had to be published,5.225806,0,1,0,26
I like baroque and classical music,5.52381,0,2,1,27
the proprietor was unavailable,6.0,1,0,1,26
be discreet about your meeting,5.672727,1,2,1,23
meet tomorrow in the lavatory,5.172414,0,1,0,24
suburbs are sprawling up everywhere,6.526316,3,2,1,26
shivering is one way to keep warm,5.225806,1,1,0,25
dolphins leap high out of the water,5.117647,0,0,1,29
try to enjoy your maternity leave,5.419355,0,1,0,27
the ventilation system is broken,6.339623,2,0,1,26
dinosaurs have been extinct for ages,7.018868,2,3,1,26
an inefficient way to heat a house,5.25,1,2,1,25
the bus was very crowded,4.210526,1,1,0,18
an injustice is committed every day,5.373134,0,1,0,29
the coronation was very exciting,5.6,2,0,0,26
look in the syllabus for the course,5.898305,0,2,1,27
rectangular objects have four sides,7.018868,0,2,1,29
prescription drugs require a note,5.117647,1,2,1,26
the insulation is not working,4.411765,1,1,1,23
nothing finer than discovering a treasure,8.150943,2,2,1,32
our life expectancy has increased,5.272727,2,1,1,26
the cream rises to the top,4.5,0,2,0,19
the high waves will swamp us,4.181818,0,1,1,22
the treasurer must balance her books,7.153846,1,0,1,30
completely sold out of that,4.758621,2,0,1,21
the location of the crime,4.271186,1,0,1,20
the chancellor was very boring,5.571429,1,1,0,24
the accident scene is a shrine for fans,6.095238,3,2,0,27
a tumor is OK provided it is benign,5.6,0,0,0,28
please take a bath this month,4.430769,0,1,0,23
rent is paid at the beginning of the month,8.0,3,1,0,30
for murder you get a long prison sentence,6.580645,3,2,1,29
a much higher risk of getting cancer,6.315789,2,0,0,28
quit while you are ahead,4.705882,0,0,1,20
knee bone is connected to the thigh bone,7.2,3,0,0,30
safe to walk the streets in the evening,6.857143,1,1,1,30
luckily my wallet was found,4.6,2,2,1,19
one hour is allotted for questions,6.214286,0,1,0,28
so you think you deserve a raise,5.777778,0,0,1,26
they watched the entire movie,5.357143,1,0,1,24
good jobs for those with education,5.353846,0,1,0,28
jumping right out of the water,4.83871,0,0,1,25
the trains are always late,4.551724,2,2,0,18
sit at the front of the bus,4.0,2,0,1,19
do you prefer a window seat,4.061538,2,2,0,18
the food at this restaurant,4.52459,1,2,1,20
Canada has ten provinces,4.846154,2,0,0,19
the elevator door appears to be stuck,6.888889,2,2,1,27
raindrops keep falling on my head,6.0,1,0,0,27
spill coffee on the carpet,3.882353,1,1,1,20
an excellent way to communicate,5.586207,0,2,0,25
with each step forward,4.145455,1,0,0,18
faster than a speeding bullet,5.357143,1,1,1,23
wishful thinking is fine,3.761194,1,0,1,20
nothing wrong with his style,4.8,0,2,0,22
arguing with the boss is futile,5.37931,2,1,1,23
taking the train is usually faster,6.214286,0,0,1,29
what goes up must come down,4.4,1,0,0,21
be persistent to win a strike,4.721311,0,0,1,24
presidents drive expensive cars,5.419355,1,1,0,26
the stock exchange dipped,4.474576,2,0,0,20
why do you ask silly questions,4.761905,2,1,0,22
that is a very nasty cut,3.931034,0,0,0,19
what to do when the oil runs dry,4.411765,0,1,0,24
learn to walk before you run,4.181818,2,1,1,20
insurance is important for bad drivers,7.615385,2,2,1,29
traveling to conferences is fun,6.352941,2,2,1,23
do you get nervous when you speak,4.984615,0,2,0,25
pumping helps if the roads are slippery,7.2,2,0,1,31
parking tickets can be challenged,5.612903,0,1,0,28
apartments are too expensive,4.545455,1,0,0,24
find a nearby parking spot,4.327869,2,2,1,18
gun powder must be handled with care,5.625,2,2,0,26
just what the doctor ordered,5.647059,1,0,1,23
a rattle snake is very poisonous,5.586207,1,0,0,26
weeping willows are found near water,7.153846,2,3,1,26
I cannot believe I ate the whole thing,6.888889,3,3,0,25
the biggest hamburger I have ever seen,7.245283,2,0,1,30
gamblers eventually loose their shirts,8.0,1,3,0,30
exercise is good for the mind,4.363636,0,1,0,23
irregular verbs are the hardest to learn,6.375,2,3,1,29
they might find your comment offensive,6.285714,2,1,0,30
tell a lie and your nose will grow,4.909091,1,2,1,24
an enlarged nose suggests you are a liar,6.387097,0,2,1,31
lie detector tests never work,5.882353,0,0,0,25
do not lie in court or else,3.761194,0,0,1,21
most judges are very honest,5.207547,1,0,0,22
only an idiot would lie in court,4.727273,2,2,1,22
important news always seems to be late,5.731343,1,3,0,28
please try to be home before midnight,5.636364,1,0,1,30
if you come home late the doors are locked,7.555556,0,1,0,33
dormitory doors are locked at midnight,7.615385,1,3,1,29
staying up all night is a bad idea,4.909091,0,0,0,27
you are a capitalist pig,4.067797,1,2,0,17
motivational seminars make me sick,6.101695,1,2,0,27
questioning the wisdom of the courts,5.470588,0,3,0,28
rejection letters are discouraging,6.888889,3,3,0,25
the first time he tried to swim,4.761905,0,1,1,24
that referendum asked a silly question,5.910448,3,2,0,28
a steep learning curve in riding a unicycle,7.322034,2,1,1,33
a good stimulus deserves a good response,6.276923,2,0,1,32
everybody looses in custody battles,5.8125,3,1,1,27
put garbage in an abandoned mine,5.684211,0,1,1,26
employee recruitment takes a lot of effort,6.857143,0,1,0,35
experience is hard to come by,4.721311,0,2,0,22
everyone wants to win the lottery,5.169231,0,2,0,26
the picket line gives me the chills,6.214286,0,1,0,28
