Phrase,Time,INF,IF,F,C
round robin scheduling,5.454545,0,1,0,19
information super highway,7.885714,1,1,1,21
my favorite web browser,4.444444,0,0,1,20
the laser printer is jammed,6.571429,0,0,0,23
all good boys deserve fudge,6.9,0,0,0,23
the second largest country,6.272727,1,0,1,22
call for more details,4.32,0,0,0,18
just in time for the party,4.754717,0,0,1,21
have a good weekend,3.622642,0,0,0,16
video camera with a zoom lens,5.647059,0,0,1,24
what a monkey sees a monkey will do,7.304348,0,1,1,27
that is very unfortunate,5.6,0,0,0,21
the back yard of our house,5.478261,0,1,0,20
this is a very good idea,6.0,0,0,0,19
reading week is just about here,6.5,1,0,1,25
our fax number has changed,4.981132,0,0,1,22
thank you for your help,6.333333,0,0,0,19
no exchange without a bill,6.0,0,0,1,22
the early bird gets the worm,5.632653,1,1,0,21
buckle up for safety,4.636364,0,0,0,17
this is too much to handle,5.860465,0,0,1,21
protect your environment,5.387755,1,1,0,20
world population is growing,8.0,1,1,1,22
the library is closed today,5.75,0,0,1,23
Mary had a little lamb,5.538462,0,0,0,18
teaching services will help,6.12766,1,0,1,23
we accept personal checks,5.176471,0,0,0,22
this is a non profit organization,6.72,0,0,1,28
user friendly interface,6.146341,0,0,1,21
healthy food is good for you,6.418605,1,1,0,21
hands on experience with a job,7.317073,0,1,1,24
this watch is too expensive,7.459459,0,1,1,22
the postal service is very slow,7.090909,1,1,0,24
communicate through email,5.207547,0,0,1,23
the capital of our nation,5.860465,0,0,1,21
travel at the speed of light,7.459459,1,1,1,21
I do not fully agree with you,6.571429,1,1,1,21
gas bills are sent monthly,5.617021,0,1,1,21
earth quakes are predictable,5.660377,1,0,1,24
life is but a dream,4.186047,0,0,0,15
take it to the recycling depot,5.660377,1,1,1,23
sent this by registered mail,5.236364,1,1,1,22
fall is my favorite season,5.5,0,0,1,22
a fox is a very smart animal,5.387755,1,1,0,20
the kids are very excited,4.754717,1,1,1,19
parking lot is full of trucks,6.545455,1,0,1,23
my bike has a flat tire,5.268293,0,0,0,18
do not walk too quickly,5.7,0,0,0,19
a duck quacks to ask for food,6.0,0,0,1,23
limited warranty of two years,5.882353,1,0,1,24
the four seasons will come,4.888889,1,1,1,20
the sun rises in the east,6.0,0,0,0,20
it is very windy today,4.909091,0,0,0,18
do not worry about this,5.302326,0,0,0,19
dashing through the snow,6.3,1,0,1,20
want to join us for lunch,6.857143,1,0,1,19
stay away from strangers,6.461538,0,0,1,21
accompanied by an adult,4.615385,0,0,0,20
see you later alligator,5.853659,1,1,1,18
make my day you sucker,5.4,0,0,0,18
I can play much better now,7.2,1,0,0,20
she wears too much makeup,5.142857,0,0,0,21
my bare face in the wind,6.162162,0,0,0,19
batman wears a cape,4.571429,0,0,0,16
I hate baking pies,4.390244,0,0,0,15
lydia wants to go home,4.075472,0,0,0,18
win first prize in the contest,6.382979,0,0,1,25
freud wrote of the ego,4.8,0,0,0,18
I do not care if you do that,4.666667,0,1,0,20
always cover all the bases,4.888889,0,0,0,22
nobody cares anymore,4.909091,0,0,0,18
can we play cards tonight,6.3,0,1,1,20
get rid of that immediately,5.52,1,0,1,22
I watched blazing saddles,5.387755,0,0,0,22
the sum of the parts,5.052632,0,0,0,16
they love to yap about nothing,7.5,1,1,0,23
peek out the window,4.682927,0,0,0,16
be home before midnight,6.486486,1,1,0,18
he played a pimp in that movie,8.0,0,1,1,23
I skimmed through your proposal,6.48,0,0,1,27
he was wearing a sweatshirt,6.272727,1,1,0,21
no more war no more bloodshed,7.783784,0,1,0,23
toss the ball around,4.857143,0,0,0,17
I will meet you at noon,4.32,0,0,0,18
I want to hold your hand,4.145455,0,0,0,19
the children are playing,4.754717,0,0,0,21
superman never wore a mask,4.888889,0,0,1,22
I listen to the tape everyday,6.4,0,0,1,24
he is shouting loudly,5.684211,0,0,0,18
correct your diction immediately,8.487805,1,0,0,28
seasoned golfers love the game,6.367347,1,0,1,25
he cooled off after she left,7.666667,1,0,0,22
my dog sheds his hair,4.857143,0,0,0,17
join us on the patio,4.173913,0,0,0,16
these cookies are so amazing,6.4,0,1,1,23
I can still feel your presence,7.317073,1,1,1,23
the dog will bite you,4.163265,0,0,0,17
a most ridiculous thing,6.315789,1,0,1,19
where did you get that tie,5.361702,0,0,0,21
what a lovely red jacket,4.8,0,0,1,20
do you like to shop on Sunday,6.133333,0,0,1,23
I spilled coffee on the carpet,7.692308,0,1,0,24
the largest of the five oceans,7.692308,0,1,1,24
shall we play a round of cards,7.578947,1,0,1,23
olympic athletes use drugs,6.0,1,0,1,22
my mother makes good cookies,6.697674,0,1,1,23
do a good deed to someone,4.363636,1,1,1,18
quick there is someone knocking,9.0,1,1,1,25
flashing red light means stop,7.5,1,1,0,23
sprawling subdivisions are bad,8.756757,1,1,0,25
where did I leave my glasses,6.133333,1,1,0,21
on the way to the cottage,4.897959,0,1,0,19
a lot of chlorine in the water,7.2,1,1,0,22
do not drink the water,5.4,0,0,0,18
my car always breaks in the winter,6.857143,0,0,0,28
santa claus got stuck,4.909091,0,0,0,18
public transit is much faster,6.976744,1,0,0,24
zero in on the facts,5.485714,0,0,0,16
make up a few more phrases,5.860465,1,0,1,20
my fingers are very cold,6.153846,1,1,1,18
rain rain go away,3.36,0,0,0,14
bad for the environment,5.106383,0,0,1,20
universities are too expensive,6.612245,1,0,1,26
the price of gas is high,4.653061,0,0,0,19
the winner of the race,5.684211,0,0,0,18
we drive on parkways,4.25,0,0,0,17
we park in driveways,5.513514,0,0,0,17
go out for some pizza and beer,5.877551,0,1,1,23
effort is what it will take,6.285714,1,0,0,21
where can my little dog be,6.146341,1,1,1,19
if you were not so stupid,4.8,1,0,0,19
not quite so smart as you think,5.454545,1,1,0,23
do you like to go camping,4.363636,0,0,1,20
this person is a disaster,5.6,1,1,0,19
the imagination of the nation,6.666667,1,0,0,24
universally understood to be wrong,8.372093,1,1,1,28
listen to five hours of opera,6.26087,0,0,1,24
an occasional taste of chocolate,8.615385,0,0,0,28
victims deserve more redress,6.25,1,0,0,24
the protesters blocked all traffic,8.0,0,1,1,29
the acceptance speech was boring,8.4,1,1,0,26
work hard to reach the summit,7.2,0,0,0,24
a little encouragement is needed,6.461538,0,1,1,27
stiff penalty for staying out late,6.444444,0,0,0,29
the pen is mightier than the sword,6.222222,0,1,0,27
exceed the maximum speed limit,6.933333,0,1,0,25
in sharp contrast to your words,5.886792,0,0,1,26
this leather jacket is too warm,8.210526,0,1,0,25
consequences of a wrong turn,7.384615,1,1,0,22
this mission statement is baloney,7.733333,0,0,0,29
you will loose your voice,6.461538,0,0,1,21
every apple from every tree,6.133333,0,0,1,23
are you sure you want this,4.666667,1,0,1,20
the fourth edition was better,6.666667,0,0,1,25
this system of taxation,5.581395,0,1,1,19
beautiful paintings in the gallery,8.372093,1,0,1,29
a yard is almost as long as a meter,6.0,1,0,0,26
we missed your birthday,5.217391,0,1,1,19
coalition governments never work,9.405405,1,1,0,27
destruction of the rain forest,6.5,0,0,0,26
I like to play tennis,3.777778,0,0,0,17
acutely aware of her good looks,6.0,1,0,0,25
you want to eat your cake,4.897959,1,0,1,19
machinery is too complicated,5.454545,1,1,1,23
a glance in the right direction,5.672727,1,0,0,25
I just cannot figure this out,7.384615,1,0,1,23
please follow the guidelines,7.894737,0,1,0,24
an airport is a very busy place,5.769231,1,0,0,24
mystery of the lost lagoon,7.333333,1,1,1,20
is there any indication of this,8.432432,0,0,1,26
the chamber makes important decisions,9.9,1,0,1,32
this phenomenon will never occur,6.222222,1,0,1,27
obligations must be met first,6.122449,0,1,0,24
valid until the end of the year,6.25,0,1,0,24
file all complaints in writing,7.8,1,1,1,24
tickets are very expensive,5.018182,1,0,1,22
a picture is worth many words,7.02439,0,1,0,23
this camera takes nice photographs,6.666667,0,0,1,30
it looks like a shack,5.1,0,0,0,17
the dog buried the bone,4.75,0,0,0,19
the daring young man,5.513514,0,0,0,17
this equation is too complicated,7.148936,1,1,1,26
express delivery is very fast,7.894737,0,1,0,24
I will put on my glasses,6.514286,0,0,0,19
a touchdown in the last minute,6.818182,1,0,1,24
the treasury department is broke,6.461538,1,1,1,26
a good response to the question,6.24,1,1,0,24
well connected with people,6.418605,0,0,0,23
the bathroom is good for reading,6.0,0,0,0,27
the generation gap gets wider,8.571429,0,1,1,24
chemical spill took forever,5.877551,0,1,0,23
prepare for the exam in advance,7.090909,1,1,0,24
interesting observation was made,7.565217,0,0,0,29
bank transaction was not registered,8.266667,0,1,0,30
your etiquette needs some work,5.886792,1,1,0,24
we better investigate this,5.207547,0,1,0,22
stability of the nation,4.528302,0,1,1,19
house with new electrical panel,7.902439,1,1,0,25
our silver anniversary is coming,6.72,0,1,1,27
the presidential suite is very busy,7.2,1,1,1,28
the punishment should fit the crime,7.2,1,1,0,28
sharp cheese keeps the mind sharp,8.615385,1,1,1,26
the registration period is over,8.1,0,0,0,27
you have my sympathy,4.340426,0,0,0,17
the objective of the exercise,7.692308,0,0,0,25
historic meeting without a result,7.909091,0,1,0,28
very reluctant to enter,5.853659,1,0,0,19
good at addition and subtraction,8.0,0,1,1,27
six daughters and seven sons,5.433962,1,0,0,23
a thoroughly disgusting thing to say,10.054054,1,1,1,29
sign the withdrawal slip,4.846154,0,1,0,20
relations are very strained,7.2,1,1,0,22
the minimum amount of time,6.439024,1,0,0,21
a very traditional way to dress,8.914286,0,0,1,26
the aspirations of a nation,5.207547,0,1,0,22
medieval times were very hard,6.666667,0,1,1,24
a security force of eight thousand,9.942857,0,0,1,29
there are winners and losers,7.384615,1,1,1,22
the voters turfed him out,5.478261,0,1,0,20
pay off a mortgage for a house,6.697674,0,1,1,23
the collapse of the Roman empire,8.756757,0,1,1,26
did you see that spectacular explosion,7.2,0,1,0,32
keep receipts for all your expenses,7.2,1,1,0,28
the assault took six months,6.9,1,1,1,21
get your priorities in order,6.857143,0,1,0,23
traveling requires a lot of fuel,8.526316,0,0,1,27
longer than a football field,6.0,0,1,0,23
a good joke deserves a good laugh,7.714286,1,0,0,26
the union will go on strike,5.28,0,1,0,21
never mix religion and politics,6.0,1,0,1,26
interactions between men and women,7.346939,0,1,1,29
where did you get such a silly idea,7.304348,0,0,1,28
it should be sunny tomorrow,7.885714,0,0,0,23
a psychiatrist will help you,5.433962,1,0,1,23
you should visit to a doctor,5.111111,1,1,1,21
you must make an appointment,6.857143,1,0,0,23
the fax machine is broken,5.25,1,0,1,20
players must know all the rules,6.367347,0,0,0,26
a dog is the best friend of a man,5.555556,1,0,0,24
would you like to come to my house,8.526316,1,1,1,25
February has an extra day,5.04,1,0,1,20
do not feel too bad about it,7.333333,0,1,1,21
this library has many books,6.9,1,1,1,21
construction makes traveling difficult,8.571429,0,0,1,35
he called seven times,4.075472,0,0,0,18
that is a very odd question,5.28,1,0,0,21
a feeling of complete exasperation,7.5,0,0,1,30
we must redouble our efforts,6.857143,0,0,0,24
no kissing in the library,4.846154,0,1,1,20
that agreement is rife with problems,7.914894,1,0,0,30
vote according to your conscience,6.327273,1,0,1,28
my favourite sport is racketball,7.0,0,1,1,27
sad to hear that news,3.709091,0,0,0,17
the gun discharged by accident,6.782609,1,0,1,25
one of the poorest nations,4.981132,0,0,1,22
the algorithm is too complicated,6.109091,0,1,1,27
your presentation was inspiring,8.195122,0,0,1,28
that land is owned by the government,7.5,1,1,1,28
burglars never leave their business card,10.243902,0,0,0,35
the fire blazed all weekend,5.52,1,1,0,21
if diplomacy does not work,5.176471,1,1,1,20
please keep this confidential,7.8,1,0,0,25
the rationale behind the decision,6.823529,0,0,0,29
the cat has a pleasant temperament,7.565217,1,1,1,27
our housekeeper does a thorough job,7.659574,1,1,0,28
her majesty visited our country,8.1,0,1,1,26
handicapped persons need consideration,11.351351,1,0,1,34
these barracks are big enough,8.333333,1,1,1,23
sing the gospel and the blues,6.12766,0,0,0,24
he underwent triple bypass surgery,8.372093,1,1,0,28
the hopes of a new organization,7.428571,1,1,0,24
peering through a small hole,6.857143,1,0,0,23
rapidly running short on words,6.782609,1,1,1,24
it is difficult to concentrate,6.24,1,0,1,25
give me one spoonful of coffee,5.882353,0,1,1,24
two or three cups of coffee,4.981132,0,0,1,22
just like it says on the can,6.947368,1,0,1,21
companies announce a merger,7.2,0,0,1,24
electric cars need big fuel cells,7.304348,1,0,1,27
the plug does not fit the socket,7.609756,0,1,1,25
drugs should be avoided,5.217391,1,0,0,19
the most beautiful sunset,5.176471,0,1,0,21
we dine out on the weekends,7.135135,0,0,0,22
get aboard the ship is leaving,6.818182,1,0,1,24
the water was monitored daily,7.5,0,1,1,24
he watched in astonishment,7.666667,1,0,0,22
a big scratch on the tabletop,6.545455,0,1,1,23
salesmen must make their monthly quota,9.658537,1,1,1,31
saving that child was an heroic effort,9.142857,1,0,0,31
granite is the hardest of all rocks,7.404255,1,1,0,27
bring the offenders to justice,5.777778,1,0,0,25
every Saturday he folds the laundry,9.473684,0,1,0,29
careless driving results in a fine,8.487805,1,0,0,28
microscopes make small things look big,10.702703,1,0,0,32
a coupon for a free sample,4.581818,1,0,0,20
fine but only in moderation,5.87234,0,0,0,23
a subject one can really enjoy,6.0,0,1,1,24
important for political parties,6.72,0,0,1,28
that sticker needs to be validated,7.909091,1,1,1,27
the fire raged for an entire month,7.148936,1,1,1,26
one never takes too many precautions,8.651163,1,0,1,30
we have enough witnesses,5.6,1,1,0,19
labour unions know how to organize,9.666667,1,0,1,28
people blow their horn a lot,6.272727,0,0,0,23
a correction had to be published,6.113208,0,0,1,27
I like baroque and classical music,7.25,0,0,1,29
the proprietor was unavailable,7.902439,1,0,1,26
be discreet about your meeting,6.367347,0,1,1,25
meet tomorrow in the lavatory,7.317073,1,1,0,23
suburbs are sprawling up everywhere,7.75,0,1,1,30
shivering is one way to keep warm,7.363636,0,0,0,27
dolphins leap high out of the water,7.565217,1,1,0,27
try to enjoy your maternity leave,8.842105,0,0,1,28
the ventilation system is broken,8.615385,0,1,1,27
dinosaurs have been extinct for ages,7.591837,1,1,0,29
an inefficient way to heat a house,6.72,0,1,1,27
the bus was very crowded,5.853659,1,0,1,19
an injustice is committed every day,9.230769,0,1,1,29
the coronation was very exciting,8.0,0,1,1,27
look in the syllabus for the course,7.25,0,0,0,29
rectangular objects have four sides,7.018868,0,0,0,31
prescription drugs require a note,9.405405,1,1,0,27
the insulation is not working,5.555556,0,0,0,25
nothing finer than discovering a treasure,12.342857,1,1,0,34
our life expectancy has increased,9.157895,0,1,0,28
the cream rises to the top,6.810811,1,1,1,19
the high waves will swamp us,5.87234,1,1,1,21
the treasurer must balance her books,9.538462,1,0,1,30
completely sold out of that,5.411765,0,1,1,22
the location of the crime,7.2,0,0,0,21
the chancellor was very boring,7.8,0,0,1,26
the accident scene is a shrine for fans,7.836735,1,0,1,31
a tumor is OK provided it is benign,7.148936,1,0,0,27
please take a bath this month,6.545455,1,1,0,22
rent is paid at the beginning of the month,8.16,1,0,0,33
for murder you get a long prison sentence,8.0,1,1,0,32
a much higher risk of getting cancer,8.0,0,0,0,30
quit while you are ahead,5.454545,0,0,1,20
knee bone is connected to the thigh bone,10.153846,1,1,1,31
safe to walk the streets in the evening,10.666667,1,1,0,30
luckily my wallet was found,5.018182,0,0,0,23
one hour is allotted for questions,8.7,1,1,1,27
so you think you deserve a raise,6.782609,0,1,1,25
they watched the entire movie,7.142857,1,0,1,24
good jobs for those with education,7.565217,1,0,0,28
jumping right out of the water,6.666667,1,1,0,23
the trains are always late,5.076923,1,0,0,21
sit at the front of the bus,5.25,0,1,1,20
do you prefer a window seat,4.888889,0,1,0,21
the food at this restaurant,5.411765,1,0,1,22
Canada has ten provinces,4.941176,0,1,1,20
the elevator door appears to be stuck,9.789474,1,0,0,30
raindrops keep falling on my head,8.0,0,0,1,28
spill coffee on the carpet,5.866667,1,1,1,20
an excellent way to communicate,6.893617,1,1,0,25
with each step forward,4.145455,0,0,0,19
faster than a speeding bullet,5.555556,1,0,1,24
wishful thinking is fine,7.2,1,1,0,19
nothing wrong with his style,6.857143,0,0,0,24
arguing with the boss is futile,7.428571,1,0,1,25
taking the train is usually faster,9.666667,1,0,0,28
what goes up must come down,6.769231,0,1,0,21
be persistent to win a strike,6.857143,1,1,1,22
presidents drive expensive cars,7.813953,0,1,1,27
the stock exchange dipped,6.439024,0,1,1,21
why do you ask silly questions,6.666667,1,0,1,24
that is a very nasty cut,5.846154,0,0,0,19
what to do when the oil runs dry,6.382979,1,1,0,23
learn to walk before you run,7.459459,0,0,1,23
insurance is important for bad drivers,7.2,1,1,0,31
traveling to conferences is fun,9.0,0,1,0,26
do you get nervous when you speak,9.257143,1,0,0,26
pumping helps if the roads are slippery,11.314286,0,1,1,32
parking tickets can be challenged,6.692308,1,1,1,27
apartments are too expensive,8.333333,0,0,0,25
find a nearby parking spot,5.5,0,1,0,21
gun powder must be handled with care,9.72973,0,0,0,30
just what the doctor ordered,7.384615,1,0,0,23
a rattle snake is very poisonous,7.714286,0,1,1,26
weeping willows are found near water,9.538462,0,0,1,31
I cannot believe I ate the whole thing,7.153846,1,1,1,29
the biggest hamburger I have ever seen,7.245283,0,1,0,31
gamblers eventually loose their shirts,8.16,0,1,0,33
exercise is good for the mind,5.433962,0,1,0,23
irregular verbs are the hardest to learn,7.846154,0,1,1,33
they might find your comment offensive,11.0,0,0,0,33
tell a lie and your nose will grow,8.1,0,1,1,26
an enlarged nose suggests you are a liar,10.702703,1,1,0,31
lie detector tests never work,6.976744,1,1,1,23
do not lie in court or else,4.846154,1,1,1,19
most judges are very honest,6.418605,0,1,0,22
only an idiot would lie in court,5.886792,1,1,0,24
important news always seems to be late,7.384615,1,1,0,30
please try to be home before midnight,9.538462,1,0,0,30
if you come home late the doors are locked,8.0,0,0,1,34
dormitory doors are locked at midnight,10.153846,0,1,1,32
staying up all night is a bad idea,6.75,0,0,1,27
you are a capitalist pig,5.853659,1,0,0,19
motivational seminars make me sick,7.659574,0,1,0,29
questioning the wisdom of the courts,10.333333,0,0,1,31
rejection letters are discouraging,7.75,1,1,0,29
the first time he tried to swim,5.454545,0,1,1,24
that referendum asked a silly question,9.9,0,1,1,32
a steep learning curve in riding a unicycle,11.076923,1,1,1,34
a good stimulus deserves a good response,7.846154,0,1,0,33
everybody looses in custody battles,6.888889,1,1,1,29
put garbage in an abandoned mine,6.352941,1,1,0,25
employee recruitment takes a lot of effort,10.536585,0,1,1,35
experience is hard to come by,6.26087,0,1,0,23
everyone wants to win the lottery,8.195122,1,0,0,27
the picket line gives me the chills,7.909091,0,0,1,29
